[2024-09-06T16:14:22.589+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-06T16:14:22.598+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:14:21.604967+00:00 [queued]>
[2024-09-06T16:14:22.603+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:14:21.604967+00:00 [queued]>
[2024-09-06T16:14:22.603+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 4
[2024-09-06T16:14:22.610+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): backfill_number_of_cancelled_candidates> on 2024-09-06 16:14:21.604967+00:00
[2024-09-06T16:14:22.614+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2042) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8230: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8232: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8234: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8236: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.982+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8238: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e823a: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e823c: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e823e: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8240: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8242: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8244: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8246: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.983+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8248: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e824a: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e824c: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e824e: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8250: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8252: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8254: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8256: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.984+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e8258: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.985+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e825a: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.985+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e825c: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.985+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e825e: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
